#random sampling: 1000																															
Gene	JS_YC_bin_221	SD_DY_bin_343	SD_DY_bin_156	JS_YC_bin_164	JS_LYG_bin_42	SD_QD_bin_87	HN_SY_bin_61	ZJ_NB_bin_117	GD_ZH_bin_112	JS_LYG_bin_20	SD_DY_bin_7	JS_LYG_bin_19	ZJ_WZ_bin_184	GD_ZH_bin_260	SD_DY_bin_417	GX_BH_bin_82	SD_DY_bin_227	GD_ZH_bin_224	JS_LYG_bin_103	GD_ST_bin_83	ZJ_NB_bin_158	GX_BH_bin_20	ZJ_NB_bin_115	SD_DY_bin_76	ZJ_WZ_bin_243	SD_DY_bin_75	ZJ_NB_bin_129	JS_LYG_bin_132	LN_DD_bin_95	SD_DY_bin_480	SD_QD_bin_67
fmdB	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
fmdC	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0
folA	1	1	3	4	1	3	3	2	2	3	0	2	4	2	1	2	2	2	0	2	1	1	3	0	2	2	6	0	2	2	2
fpoA	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	1	0
fpoB	1	2	0	1	1	2	1	1	1	1	1	0	0	0	0	3	0	1	0	1	1	2	5	1	1	1	2	2	2	2	0
fpoC	3	0	2	3	3	2	2	2	3	3	2	4	2	2	2	2	2	2	4	1	2	5	3	2	1	2	3	1	2	3	5
fpoD	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0
fpoF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
fpoH	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	2	0	0	1	0	1	0	1	0	0	0	1	0	0
fpoI	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	1	0	0	0	1	0
fpoJ	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	1	0	0	1	0
fpoK	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0
fpoL	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0
fpoM	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fpoN	1	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	1	0	1	1	0
fpoO	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fqoF	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frhA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
frhB	0	0	0	0	0	1	1	2	1	1	0	2	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	1	0	0
frhD	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
frhG	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frmA	3	0	4	4	1	3	3	0	0	1	3	2	3	3	4	2	3	3	2	3	2	2	1	1	2	3	2	1	3	3	2
ftr	0	0	0	0	0	0	1	2	1	1	0	2	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	1	0	0
fwdB	0	0	0	0	1	0	1	1	0	2	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	2
fwdC	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
fwdF	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
fwdG	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	2
fwdH	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gck	1	1	0	1	0	0	0	1	2	0	0	0	1	1	1	1	1	1	0	2	1	1	1	0	0	0	1	1	1	1	0
