BH10_FDSW220017130-1r	BH12_FDSW220017132-1r	BH14_FDSW220017134-1r	BH15_FDSW220017135-1r	BH2_FDSW220017122-1r	BH4_FDSW220017124-1r	BH6_FDSW220017126-1r	BH8_FDSW220017128-1r	DD11_FDSW220008398-1r	DD13_FDSW220008400-2r	DD15_FDSW220008402-2r	DD1_FDSW220008388-1r	DD3_FDSW220008390-2r	DD5_FDSW220008392-2r	DD7_FDSW220008394-1r	DD9_FDSW220008396-1r	DY10_FDME210438608-1r	DY11_FDME210438609-1r	DY13_FDME210438611-1b	DY15_FDME210438613-1r	DY2_FDME210438600-1b	DY3_FDME210438601-1r	DY6_FDME210438604-1r	DY7_FDME210438605-1r	LYG11_FDME210455392-2r	LYG13_FDME210455394-1a	LYG15_FDME210455396-1a	LYG1_FDME210455382-1r	LYG3_FDME210455384-1r	LYG5_FDME210455386-1r	LYG6_FDME210455387-1r	LYG7_FDME210455388-1r	NB11_FDME210455362-1b	NB12_FDME210455363-1r	NB15_FDME210455366-1r	NB1_FDME210455352-1r	NB2_FDME210455353-1r	NB4_FDME210455355-1r	NB6_FDME210455357-1r	NB7_FDME210455358-1r	CXD_1412_FDSW210423229-1r	CXD_1414_FDSW210423231-1r	CXD_1604_FDSW210423236-1r	CXD_1609_FDSW210423241-1r	CXD_1610_FDSW210423242-1r	CXD_1611_FDSW210423243-1r	CXD_1612_FDSW210423244-1r	CXD_1613_FDSW210423245-1r	ST10_L1	ST12_L1	ST13_L1	ST15_L1	ST1_FDME220007465-1r	ST3_L1	ST7_FDME220007471-1r	ST9_L1	SY11_FDME210455407-1r	SY12_FDME210455408-1r	SY13_FDME210455409-2a	SY15_FDME210455411-2a	SY1_FDME210455397-2a	SY3_FDME210455399-2a	SY7_FDME210455403-2a	SY9_FDME210455405-2a	WZ10_L1	WZ11_L1	WZ14_L1	WZ15_FDME210455471-1r	WZ1_L1	WZ3_L1	WZ5_L1	WZ7_FDME210455463-1r	XM10_FDME220007444-1r	XM12_FDME220007446-1r	XM14_FDME220007448-1r	XM15_FDME220007449-1r	XM2_FDME220007436-1r	XM4_FDME220007438-1r	XM6_FDME220007440-1r	XM8_FDME220007442-1r	YC11_FDME220007415-1r	YC13_FDME220007417-1r	YC15_FDME220007419-1r	YC1_FDME220007405-1r	YC3_FDME220007407-1r	YC5_FDME220007409-1r	YC7_FDME220007411-1a	YC9_FDME220007413-1r	ZH11_FDSW220008794-2r	ZH13_FDSW220008796-2r	ZH15_FDSW220008798-2r	ZH1_FDSW220008784-1r	ZH3_FDSW220008786-1r	ZH5_FDSW220008788-1r	ZH7_FDSW220008790-1r	ZH9_FDSW220008792-2r
K00012	32	10	17	15	12	18	11	16	11	16	21	8	9	11	5	17	23	30	38	23	18	9	34	12	6	8	0	13	13	3	13	4	20	20	28	22	15	22	18	29	27	13	19	21	17	16	8	9	20	17	6	15	24	10	11	11	11	41	13	29	6	16	14	24	26	22	14	25	34	23	18	22	10	14	17	19	12	11	20	21	30	22	12	15	15	22	15	13	19	31	36	28	21	25	16	24
K00013	0	1	5	12	4	2	6	2	9	7	2	9	11	11	3	9	24	28	19	17	16	20	23	13	26	10	1	30	22	25	17	11	10	7	6	11	2	10	7	7	17	6	9	17	8	6	5	9	17	46	19	16	18	13	15	15	4	9	11	7	11	6	13	3	12	3	9	9	14	13	11	20	11	11	10	12	5	11	5	11	7	10	3	4	1	9	3	7	18	12	12	23	12	19	8	22
K00014	18	10	9	18	9	11	13	15	4	8	2	4	2	3	6	9	6	2	9	12	2	6	7	3	21	20	9	20	14	20	8	14	14	14	12	11	6	9	7	10	15	11	12	18	22	11	28	24	13	25	6	7	11	15	8	1	1	0	6	0	5	1	7	3	13	13	4	8	9	15	5	4	15	7	7	6	10	5	10	5	6	6	6	9	9	17	3	4	9	7	16	9	12	22	7	12
K00015	0	0	0	0	0	0	0	2	1	0	0	3	0	3	0	2	4	8	15	6	12	11	4	4	0	0	0	0	1	0	0	0	3	2	3	1	8	2	4	2	1	0	1	6	3	0	0	0	3	1	1	0	0	2	0	0	1	0	2	0	0	1	0	3	2	0	0	1	2	0	5	1	3	4	0	2	2	0	2	0	0	1	1	0	2	2	2	4	1	0	2	0	4	3	0	0
K00016	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	12	3	15	10	1	6	1	10	0	1	0	0	1	1	5	2	4	8	2	6	8	6	7	10	2	6	2	0	11	16	7	9	4	9	3	10	8	2	1	1	0	0	0	1	0	0	0	0	11	9	6	9	11	10	6	7	2	11	1	2	10	2	4	4	3	6	5	5	5	7	4	1	0	2	4	1	0	2	1	2
K00018	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	1	0	0	0	1	0	0	0
K00019	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	6	0	1	4	1	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	2	0
K00020	3	0	5	3	4	1	2	1	4	3	1	0	1	4	1	2	10	13	6	12	12	7	15	11	0	0	0	2	1	0	1	2	10	9	16	14	6	17	20	5	2	4	1	0	9	8	11	2	13	11	2	10	8	3	6	3	0	0	0	0	3	0	0	0	16	24	13	33	19	34	13	12	6	6	7	6	12	1	4	5	39	29	25	22	28	27	28	21	4	4	3	7	4	4	4	4
K00021	1	6	2	0	6	0	9	5	3	0	1	3	0	2	1	0	6	6	6	8	4	3	8	13	14	17	0	12	14	28	17	5	2	1	4	2	35	2	0	2	6	5	16	27	2	4	4	2	1	0	2	0	0	1	2	0	11	0	3	0	2	3	6	2	0	1	3	1	1	0	0	2	1	2	0	0	3	0	2	0	0	2	1	7	7	6	4	1	0	0	0	0	0	0	0	0
K00022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	0	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	2	0	2	1	1	1	0	2	0	0	0	1	0	0	0	0	1	2	1	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	5	3	3	3	0	7	3
