id1	id2	similarity	distance
DD11_FDSW220008398-1r	BH10_FDSW220017130-1r	0.532731240150321	2455804.27605759
DD13_FDSW220008400-2r	BH10_FDSW220017130-1r	0.48072493635592195	2455804.27605759
DD15_FDSW220008402-2r	BH10_FDSW220017130-1r	0.525336404412656	2455804.27605759
DD1_FDSW220008388-1r	BH10_FDSW220017130-1r	0.467814280518851	2455804.27605759
DD3_FDSW220008390-2r	BH10_FDSW220017130-1r	0.521335919505395	2455804.27605759
DD5_FDSW220008392-2r	BH10_FDSW220017130-1r	0.533701054673294	2455804.27605759
DD7_FDSW220008394-1r	BH10_FDSW220017130-1r	0.49987877318462803	2455804.27605759
DD9_FDSW220008396-1r	BH10_FDSW220017130-1r	0.5329736937810641	2455804.27605759
DY10_FDME210438608-1r	BH10_FDSW220017130-1r	0.43574978785307295	2047495.98508791
DY11_FDME210438609-1r	BH10_FDSW220017130-1r	0.481512910655837	2047495.98508791
DY13_FDME210438611-1b	BH10_FDSW220017130-1r	0.459873924112014	2047495.98508791
DY15_FDME210438613-1r	BH10_FDSW220017130-1r	0.46448054309613296	2047495.98508791
DY2_FDME210438600-1b	BH10_FDSW220017130-1r	0.465086677172991	2047495.98508791
DY3_FDME210438601-1r	BH10_FDSW220017130-1r	0.5201842647593651	2047495.98508791
DY6_FDME210438604-1r	BH10_FDSW220017130-1r	0.46441992968844703	2047495.98508791
DY7_FDME210438605-1r	BH10_FDSW220017130-1r	0.44096254091404996	2047495.98508791
LYG11_FDME210455392-2r	BH10_FDSW220017130-1r	0.44926657776700196	1779835.17042156
LYG13_FDME210455394-1a	BH10_FDSW220017130-1r	0.410716450478846	1779835.17042156
LYG15_FDME210455396-1a	BH10_FDSW220017130-1r	0.33004000484907303	1779835.17042156
LYG1_FDME210455382-1r	BH10_FDSW220017130-1r	0.468177960964965	1779835.17042156
LYG3_FDME210455384-1r	BH10_FDSW220017130-1r	0.481149230209722	1779835.17042156
LYG5_FDME210455386-1r	BH10_FDSW220017130-1r	0.416656564432052	1779835.17042156
LYG6_FDME210455387-1r	BH10_FDSW220017130-1r	0.505212753060977	1779835.17042156
LYG7_FDME210455388-1r	BH10_FDSW220017130-1r	0.5049702994302341	1779835.17042156
NB11_FDME210455362-1b	BH10_FDSW220017130-1r	0.491695963147048	1583673.59694838
NB12_FDME210455363-1r	BH10_FDSW220017130-1r	0.49181718996241996	1583673.59694838
NB15_FDME210455366-1r	BH10_FDSW220017130-1r	0.496060128500424	1583673.59694838
NB1_FDME210455352-1r	BH10_FDSW220017130-1r	0.511819614498727	1583673.59694838
NB2_FDME210455353-1r	BH10_FDSW220017130-1r	0.433567705176385	1583673.59694838
NB4_FDME210455355-1r	BH10_FDSW220017130-1r	0.49612074190810995	1583673.59694838
NB6_FDME210455357-1r	BH10_FDSW220017130-1r	0.49630258213116696	1583673.59694838
NB7_FDME210455358-1r	BH10_FDSW220017130-1r	0.516305006667475	1583673.59694838
